"STREAM_ID","n.trend","n.ltgme","n.gm","ANALYSE"
1,0,0,0,"N"
2,0,0,0,"N"
3,0,0,0,"N"
4,0,0,0,"N"
7,0,0,0,"N"
8,0,0,0,"N"
9,0,0,0,"N"
10,0,0,0,"N"
12,0,0,0,"N"
13,2,2,1,"Y"
14,0,0,0,"N"
15,0,0,0,"N"
16,0,1,0,"Y"
17,0,0,0,"N"
18,0,0,0,"N"
19,0,0,0,"N"
20,0,1,0,"Y"
21,0,1,0,"Y"
24,0,0,0,"N"
26,0,0,0,"N"
27,0,1,0,"Y"
28,0,0,0,"N"
29,0,0,0,"N"
30,0,0,0,"N"
31,0,0,0,"N"
33,0,1,0,"Y"
34,0,0,0,"N"
36,0,1,0,"Y"
37,0,0,0,"N"
38,0,0,0,"N"
40,0,0,0,"N"
42,0,0,0,"N"
43,0,1,0,"Y"
44,0,0,0,"N"
45,0,0,0,"N"
46,0,0,0,"N"
47,0,0,0,"N"
48,0,0,0,"N"
49,0,0,0,"N"
50,0,0,0,"N"
51,0,0,0,"N"
52,0,0,0,"N"
53,0,1,0,"Y"
54,0,0,0,"N"
55,0,0,0,"N"
56,0,0,0,"N"
57,0,0,0,"N"
58,0,0,0,"N"
59,0,0,0,"N"
60,0,1,0,"Y"
61,0,0,0,"N"
62,1,1,1,"Y"
63,1,0,0,"Y"
64,0,0,0,"N"
65,0,0,0,"N"
66,0,1,0,"Y"
67,0,1,0,"Y"
68,0,0,0,"N"
69,0,1,0,"Y"
70,0,0,0,"N"
71,0,0,0,"N"
72,0,0,0,"N"
73,0,0,0,"N"
74,0,0,0,"N"
75,0,0,0,"N"
76,0,0,0,"N"
77,0,0,0,"N"
78,0,0,0,"N"
79,0,0,0,"N"
80,0,0,0,"N"
81,0,0,0,"N"
82,0,0,0,"N"
83,0,0,0,"N"
84,0,0,0,"N"
85,0,0,0,"N"
86,0,0,0,"N"
87,0,0,0,"N"
89,0,0,0,"N"
90,0,0,0,"N"
91,0,0,0,"N"
92,0,0,0,"N"
93,0,0,0,"N"
94,0,0,0,"N"
95,0,0,0,"N"
98,0,0,0,"N"
99,0,0,0,"N"
100,0,0,0,"N"
101,0,0,0,"N"
102,0,0,0,"N"
103,0,0,0,"N"
104,1,1,1,"Y"
105,0,1,0,"Y"
106,0,0,0,"N"
107,0,0,0,"N"
108,0,0,0,"N"
109,0,0,0,"N"
110,1,1,0,"Y"
111,0,1,0,"Y"
112,0,0,0,"N"
113,0,1,0,"Y"
114,0,0,0,"N"
115,0,0,0,"N"
116,0,0,0,"N"
117,0,0,0,"N"
118,0,0,0,"N"
119,0,0,0,"N"
120,0,0,0,"N"
122,0,0,0,"N"
123,0,0,0,"N"
124,0,0,0,"N"
125,3,2,2,"Y"
126,0,0,0,"N"
127,0,0,0,"N"
128,0,0,0,"N"
129,3,3,3,"Y"
131,0,0,0,"N"
132,2,2,1,"Y"
133,1,2,0,"Y"
134,0,0,0,"N"
138,0,0,0,"N"
140,0,0,0,"N"
141,0,0,0,"N"
142,1,0,0,"Y"
143,0,0,0,"N"
144,1,0,0,"Y"
145,0,0,0,"N"
146,0,0,0,"N"
147,1,1,1,"Y"
148,1,0,1,"Y"
149,0,0,0,"N"
150,1,1,1,"Y"
151,0,0,0,"N"
152,0,0,0,"N"
153,1,0,1,"Y"
154,1,1,1,"Y"
155,0,0,0,"N"
156,0,0,0,"N"
157,2,2,2,"Y"
158,1,0,1,"Y"
159,1,0,1,"Y"
160,1,0,1,"Y"
161,0,0,0,"N"
162,1,1,1,"Y"
163,0,0,0,"N"
164,1,1,1,"Y"
165,1,1,1,"Y"
166,0,0,0,"N"
167,0,0,0,"N"
168,0,0,0,"N"
169,1,1,1,"Y"
170,1,1,1,"Y"
171,1,0,0,"Y"
172,1,1,1,"Y"
173,1,1,1,"Y"
174,1,1,1,"Y"
175,1,1,1,"Y"
176,1,1,1,"Y"
177,0,0,0,"N"
178,0,0,0,"N"
179,2,2,2,"Y"
180,1,1,0,"Y"
181,0,0,0,"N"
182,0,0,0,"N"
183,1,1,1,"Y"
184,0,0,0,"N"
185,0,0,0,"N"
186,0,0,0,"N"
187,0,0,0,"N"
188,0,0,0,"N"
189,0,0,0,"N"
190,1,0,0,"Y"
191,0,0,0,"N"
192,2,2,1,"Y"
193,0,0,0,"N"
194,1,0,0,"Y"
195,1,1,0,"Y"
196,0,0,0,"N"
197,2,1,1,"Y"
198,2,2,2,"Y"
199,0,0,0,"N"
200,0,0,0,"N"
201,1,1,0,"Y"
202,0,0,0,"N"
203,0,0,0,"N"
204,0,0,0,"N"
205,0,0,0,"N"
206,0,0,0,"N"
207,0,0,0,"N"
208,0,0,0,"N"
209,1,1,1,"Y"
210,1,1,1,"Y"
211,1,1,0,"Y"
212,0,0,0,"N"
213,1,1,1,"Y"
214,2,2,2,"Y"
215,2,2,2,"Y"
216,2,1,2,"Y"
217,2,2,2,"Y"
218,2,2,2,"Y"
219,2,2,2,"Y"
220,3,2,2,"Y"
221,2,2,2,"Y"
222,2,2,2,"Y"
223,2,3,1,"Y"
224,1,1,1,"Y"
225,3,3,3,"Y"
226,2,1,1,"Y"
227,0,0,0,"N"
228,2,0,0,"Y"
229,3,3,2,"Y"
230,3,2,2,"Y"
231,2,2,2,"Y"
232,4,4,4,"Y"
233,1,0,1,"Y"
234,1,1,1,"Y"
235,0,0,0,"N"
236,2,1,1,"Y"
237,3,3,3,"Y"
238,0,0,0,"N"
239,2,1,1,"Y"
240,2,3,2,"Y"
241,3,3,3,"Y"
242,0,0,0,"N"
243,0,0,0,"N"
244,0,0,0,"N"
245,0,0,0,"N"
246,0,0,0,"N"
247,0,0,0,"N"
248,1,0,0,"Y"
249,3,1,2,"Y"
250,1,0,0,"Y"
251,0,0,0,"N"
252,3,2,2,"Y"
253,2,1,1,"Y"
254,2,1,2,"Y"
255,2,1,2,"Y"
256,1,2,1,"Y"
257,2,2,2,"Y"
258,3,3,3,"Y"
259,1,1,1,"Y"
260,1,1,1,"Y"
262,3,2,2,"Y"
263,1,1,1,"Y"
264,0,0,0,"N"
265,3,2,2,"Y"
266,2,1,1,"Y"
267,0,0,0,"N"
268,1,1,1,"Y"
269,3,3,3,"Y"
271,1,1,1,"Y"
